"","dont","ah","ooh","love","hope","yeah","ha","shes","guess","god","jealousy","didnt","happy"
"Brutal",3,6,0,1,0,0,0,0,0,3,0,0,0
"traitor",2,11,3,3,0,5,0,2,3,2,0,6,0
"drivers license",0,0,8,3,0,3,0,2,2,1,0,3,0
"1 step forward, 3 steps back",5,0,0,5,0,1,0,0,0,0,0,0,0
"deja vu",1,1,1,1,0,1,13,6,0,0,0,1,0
"good 4 u",3,14,0,0,0,0,1,0,8,3,0,0,3
"enough for you",8,0,0,0,0,2,0,0,0,1,0,0,0
"happier",6,0,16,3,7,0,0,4,0,0,0,0,7
"jealousy, jealousy",4,0,0,0,0,2,0,0,0,1,12,1,1
"favorite crime",0,0,0,0,3,1,0,0,0,0,0,0,0
"hope ur ok",2,0,0,1,6,0,0,0,0,1,0,0,0
